"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","toggle","","2","0","0","0","0"
"","turn on","","1","0","1","0","0"
"","automation","","0","0","1","0","0"
"","set brightness","","1","0","0","0","0"
"","tracker","","0","0","1","0","0"
"","sensor","","0","0","1","0","0"
"","increase brightness","","1","0","0","0","0"
"","shopping list","","0","0","1","0","0"
"","set climate","","1","0","0","0","0"
"","decrease brightness","","1","0","0","0","0"
"","turn off","","2","0","0","0","0"
